Nr;Altersgruppe;Geschlecht;Verheiratet;Kinderzahl;Abschluss;Beruf;Familieneinkommen;Buch
4;36-49;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_C
20;25-35;m;nein;1;Gymnasium;Selbstaendig;5000 und mehr;Buch_C
21;19-24;m;ja;0;Gymnasium;Angestellter;2000-2999;Buch_B
25;19-24;m;nein;0;Gymnasium;Angestellter;3000-3999;Buch_B
60;19-24;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_C
61;19-24;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_C
64;36-49;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_C
68;19-24;w;ja;0;Gymnasium;Hausfrau;3000-3999;Buch_C
79;19-24;w;ja;1;Gymnasium;Hausfrau;2000-2999;Buch_C
90;19-24;m;nein;0;Gymnasium;Arbeiter;2000-2999;Buch_B
6;19-24;w;ja;1;Hauptschule;Arbeitslos;1000-1999;Buch_C
24;50-65;m;ja;2;Hauptschule;Angestellter;2000-2999;Buch_C
44;36-49;m;nein;1;Hauptschule;Angestellter;3000-3999;Buch_C
47;19-24;w;nein;0;Hauptschule;Angestellter;2000-2999;Buch_C
57;36-49;m;nein;1;Hauptschule;Angestellter;2000-2999;Buch_C
59;19-24;w;nein;0;Hauptschule;Hausfrau;1000-1999;Buch_C
2;36-49;m;nein;0;Hochschule;Angestellter;3000-3999;Buch_A
3;25-35;m;ja;1;Hochschule;Fuehrungskraft;5000 und mehr;Buch_A
7;25-35;w;ja;1;Hochschule;Arbeitslos;<1000;Buch_C
13;36-49;m;nein;0;Hochschule;Angestellter;2000-2999;Buch_A
14;36-49;w;ja;2;Hochschule;Arbeiter;1000-1999;Buch_A
16;36-49;w;nein;0;Hochschule;Hausfrau;3000-3999;Buch_A
17;25-35;m;nein;1;Hochschule;Angestellter;3000-3999;Buch_A
19;50-65;w;nein;1;Hochschule;Angestellter;2000-2999;Buch_A
22;25-35;w;ja;4;Hochschule;Hausfrau;2000-2999;Buch_A
26;36-49;m;ja;0;Hochschule;Angestellter;2000-2999;Buch_A
